iter	Passed	Remaining
1034	7957	376458
1035	7964	376444
1036	7972	376441
1037	7980	376433
1038	7988	376421
1039	7995	376419
1040	8003	376432
1041	8011	376418
1042	8019	376422
1043	8027	376429
1044	8035	376434
1045	8043	376433
1046	8050	376418
1047	8058	376426
1048	8066	376410
1049	8074	376405
1050	8081	376408
1051	8089	376390
1052	8097	376393
1053	8104	376373
1054	8112	376345
1055	8120	376354
1056	8127	376334
1057	8135	376322
1058	8142	376323
1059	8150	376312
1060	8158	376302
1061	8166	376308
1062	8173	376296
1063	8181	376287
1064	8188	376265
1065	8196	376266
1066	8204	376259
1067	8211	376240
1068	8219	376230
1069	8227	376212
1070	8234	376196
1071	8242	376180
1072	8249	376164
1073	8257	376148
1074	8264	376137
1075	8272	376120
1076	8279	376103
1077	8286	376076
1078	8294	376066
1079	8301	376044
1080	8309	376039
1081	8317	376046
1082	8325	376025
1083	8332	375999
1084	8339	375990
1085	8347	375973
1086	8354	375954
1087	8362	375932
1088	8370	375937
1089	8377	375914
1090	8384	375887
1091	8392	375873
1092	8400	375877
1093	8408	375876
1094	8415	375852
1095	8423	375847
1096	8430	375826
1097	8438	375838
1098	8446	375830
1099	8453	375806
1100	8461	375787
1101	8468	375774
1102	8476	375770
1103	8483	375750
1104	8491	375736
1105	8498	375707
1106	8506	375692
1107	8513	375676
1108	8520	375651
1109	8528	375650
1110	8536	375653
1111	8544	375630
1112	8551	375615
1113	8558	375596
1114	8566	375570
1115	8574	375568
1116	8581	375555
1117	8589	375538
1118	8596	375518
1119	8603	375500
1120	8611	375486
1121	8619	375485
1122	8626	375476
1123	8634	375474
1124	8642	375453
1125	8650	375456
1126	8657	375444
1127	8665	375428
1128	8672	375418
1129	8680	375397
1130	8687	375389
1131	8695	375375
1132	8703	375385
1133	8710	375368
1134	8718	375358
1135	8726	375364
1136	8733	375335
1137	8741	375348
1138	8749	375337
1139	8757	375328
1140	8765	375329
1141	8772	375313
1142	8780	375308
1143	8787	375287
1144	8794	375260
1145	8802	375251
1146	8810	375256
1147	8818	375253
1148	8826	375275
1149	8834	375277
1150	8842	375288
1151	8850	375280
1152	8858	375278
1153	8865	375261
1154	8873	375251
1155	8880	375231
1156	8888	375213
1157	8895	375211
1158	8903	375185
1159	8910	375171
1160	8918	375176
1161	8926	375164
1162	8934	375160
1163	8942	375169
1164	8949	375163
1165	8957	375166
1166	8965	375141
1167	8972	375121
1168	8980	375135
1169	8988	375134
1170	8996	375121
1171	9003	375094
1172	9010	375068
1173	9017	375050
1174	9025	375034
1175	9033	375031
1176	9040	375027
1177	9048	375021
1178	9055	374997
1179	9063	374980
1180	9070	374962
1181	9078	374957
1182	9086	374966
1183	9094	374950
1184	9102	374962
1185	9109	374953
1186	9117	374937
1187	9124	374923
1188	9132	374912
1189	9140	374901
1190	9147	374897
1191	9155	374887
1192	9163	374881
1193	9170	374867
1194	9178	374845
1195	9185	374839
1196	9193	374831
1197	9201	374820
1198	9208	374798
1199	9216	374793
1200	9224	374790
1201	9231	374775
1202	9239	374776
1203	9246	374763
1204	9254	374747
1205	9262	374737
1206	9269	374716
1207	9276	374694
1208	9284	374675
1209	9291	374650
1210	9299	374641
1211	9307	374653
1212	9315	374653
1213	9323	374662
